"","county_fips","trump_votes","all_votes","state","pc_trump","pc_hs_grad","unemploy_rate","median_income","pc_uninsured","pc_male","pc_under_18","pc_over_65","pc_black","pc_latin","med_inc_000s"
"114",5057,4470,6848,"AR",65.2745327102804,61.5,5.7,45484,9.4,46.2,25.4,18.1,31,12.9,45.484
"115",5059,9202,12557,"AR",73.2818348331608,61.6,5.6,46390,6.9,52.5,21.3,18.7,12,3.5,46.39
"116",5061,3367,4834,"AR",69.6524617294166,60,6.6,38038,10.4,47.7,26,17.9,21.4,12.7,38.038
"117",5063,11250,14512,"AR",77.5220507166483,63,4.3,48972,8.6,49.1,24,17.3,3.2,6.6,48.972
"118",5065,4631,5810,"AR",79.7074010327022,64.3,10.7,42818,5.6,52.6,17.4,25.5,2.5,2.4,42.818
"119",5067,3593,5091,"AR",70.5755254370458,56.7,10.6,37885,8.8,49.5,19.9,17.9,13.9,3,37.885
"120",5069,9521,25158,"AR",37.8448207329676,59.8,8.6,40402,6,49.4,22,17.3,57.2,2.2,40.402
"121",5071,6938,9498,"AR",73.0469572541588,58.6,3.9,39346,7.5,49.1,24.3,16.4,2.1,14,39.346
"122",5073,1757,2679,"AR",65.5841731989548,57.5,6.7,33763,7.6,50.1,19,23.7,36.6,2.9,33.763
"123",5075,4569,5857,"AR",78.0092197370668,62.6,7.8,40587,6.6,49.9,22,19.5,1.6,1.6,40.587
"124",5077,1286,2848,"AR",45.1544943820225,54.6,13.8,27902,8.2,56.8,18.3,19.3,56.1,2.7,27.902
"125",5079,2729,3875,"AR",70.4258064516129,52.3,1.7,46554,6.5,63.8,16.8,15.4,30.5,4.1,46.554
"126",5081,3715,5177,"AR",71.7597063936643,56.6,7.9,48966,5.1,47.7,22.2,21.5,20.7,3.7,48.966
"127",5083,6441,8225,"AR",78.3100303951368,56.3,6.1,44232,6.1,49.3,21.7,20,2.2,3.1,44.232
"128",5085,22884,30662,"AR",74.6330963407475,62.5,4.7,59278,7.2,49.1,25.6,13.6,6.8,4.6,59.278
"129",5087,5658,7351,"AR",76.9691198476398,51,7.7,41446,9.1,50.8,23.1,19,1.3,5.8,41.446
"130",5089,5783,7503,"AR",77.0758363321338,65.4,6,38426,5.9,48.4,18.1,28,0.9,2.4,38.426
"131",5091,11920,16529,"AR",72.1156754794603,65.4,8.1,45391,8.9,49.2,23.7,16.5,26.2,3.4,45.391
"132",5093,7296,12342,"AR",59.1152163344677,61.2,8.9,42986,7.5,48.9,26.2,14.7,36.5,4.4,42.986
"133",5095,1545,2816,"AR",54.8650568181818,57.2,6.2,38438,8.4,47.9,21,22.9,43.6,1.1,38.438
"134",5097,3046,3873,"AR",78.6470436354247,66.2,7.5,41165,10.9,49.9,18.5,27.3,0.6,4.3,41.165
"135",5099,2133,3358,"AR",63.5199523525908,50.8,5.6,39946,7.8,50.2,22.6,20.6,36.7,0,39.946
"136",5101,3192,3998,"AR",79.83991995998,62.5,5.3,39542,4.4,49.4,19.7,26.8,0,0.9,39.542
"137",5103,5294,9629,"AR",54.979748675875,59.4,7.5,38279,6.2,47.3,22.5,20.4,42.8,2.4,38.279
"138",5105,3479,4627,"AR",75.1891074130106,58.3,5.4,44926,4.9,51.3,22.1,19.9,2.9,3.1,44.926
"139",5107,2417,6242,"AR",38.7215636014098,68.8,14.4,33724,7.5,47,25.7,18.8,63.8,2,33.724
"140",5109,3519,4246,"AR",82.8780028261894,63,3.8,42983,8.6,49.3,21.5,20.1,4.6,6.5,42.983
"141",5111,5918,7521,"AR",78.686344900944,55.2,4.7,40700,10.5,48.8,23.9,18,5.2,3.2,40.7
"142",5113,7035,8490,"AR",82.8621908127209,63.8,10.5,39084,9.6,48.7,23,22.8,0.8,6.6,39.084
"143",5115,18081,24432,"AR",74.0054027504912,66.2,5.7,46004,7.3,49.3,22.7,15.4,4,9.2,46.004
"144",5117,2786,3495,"AR",79.7138769670959,61,6,42754,6.6,49.2,20.6,23.8,11.8,1.8,42.754
"145",5119,63687,169956,"AR",37.4726399774059,74,5,52930,7.9,47.7,23.2,15.5,38.7,6.2,52.93
"146",5121,5355,6812,"AR",78.6112742219613,64,4.3,42844,7.5,50.2,23.6,19.9,1.7,2.2,42.844
"147",5123,3242,7108,"AR",45.6105796285875,63.6,6,36053,9.9,56,21.5,16.4,54.1,5.3,36.053
"148",5125,39556,56959,"AR",69.4464439333556,69,3.9,66876,5.8,48.9,23.3,17.9,8.5,5,66.876
"149",5127,2962,3551,"AR",83.4131230639257,59.5,5.8,42635,6.7,52.7,23.7,20.9,2.8,7.9,42.635
"150",5129,3365,4019,"AR",83.7272953471013,58.5,3.7,35077,5.4,50,19.7,25.6,0.7,2.6,35.077
"151",5131,31198,47140,"AR",66.1815867628341,70.5,4.9,47878,10.8,48.9,24,16,8.3,14.4,47.878
"152",5133,3884,5202,"AR",74.6635909265667,63.5,4.9,47872,16.1,50.7,28.5,14,4.8,33.6,47.872
"153",5135,5938,7566,"AR",78.4826856991805,59.8,5.2,35573,5.8,49.1,20.7,26.1,1.4,2.4,35.573
"154",5137,4616,5938,"AR",77.7366116537555,66,8.2,36067,7.3,49.4,19.7,27.1,1,1.9,36.067
"155",5139,10478,16607,"AR",63.0938760763534,65.3,3.9,45293,6.9,48.2,24.1,17.7,33.5,4,45.293
"156",5141,6034,7807,"AR",77.2896118867683,58.7,7.1,40442,9.4,49.4,19.3,25.9,0.7,3.2,40.442
"157",5143,47504,94266,"AR",50.3935671397959,73.5,4.4,52380,11.7,50,24.3,11.7,4.5,16.9,52.38
"158",5145,24182,30885,"AR",78.2969078840861,59.6,4.9,44000,9.2,48.9,23.4,16.3,5.6,4.4,44
"159",5147,1543,2476,"AR",62.3182552504039,56.7,5.8,40331,5.3,46.4,21.4,23.7,29.7,0.2,40.331
"160",5149,5226,6741,"AR",77.5255896751224,60.5,3.6,47981,7.2,50.6,24,17.3,2.5,20.5,47.981
"161",6001,136309,770070,"CA",17.7008583635254,83,4.7,104888,4.3,49.2,20.6,13.9,12.3,22.2,104.888
"162",6003,244,741,"CA",32.9284750337382,71.3,10,85750,7.6,53.4,21.7,29.1,0.9,15.8,85.75
"163",6005,13585,22304,"CA",60.9083572453372,70,5.6,65187,5.1,54,15.3,27,3.1,14.3,65.187
"164",6007,48730,102066,"CA",47.7436168753552,77.4,7.4,54972,6,49.4,20.1,18.2,2.8,16.8,54.972
"165",6009,16518,27164,"CA",60.8084229126786,71,5.2,67054,5.3,50,16.6,28,1.3,12.5,67.054
"166",6011,4559,7961,"CA",57.266675040824,71.5,4.2,59427,8.5,51.2,27.3,14.6,2.3,59.7,59.427
"167",6013,152877,581316,"CA",26.2984332101645,82.8,5.5,103997,5,48.9,22.7,15.8,10.9,25.8,103.997
"168",6015,6461,11453,"CA",56.4131668558456,68.3,6.4,49981,5.5,53.2,21.7,17.8,4,20,49.981
"169",6017,61838,116159,"CA",53.2356511333603,78.9,4.7,83710,4.3,49.8,19.9,21.2,1.5,13,83.71
"170",6019,164464,364917,"CA",45.068878676521,77.4,8.9,57109,7.8,49.9,28.4,12.2,5.9,53.4,57.109
"171",6021,7063,11297,"CA",62.5210232805169,72.5,5.7,51682,9.2,51.2,26.7,16.4,1.1,42.2,51.682
"172",6023,21770,68843,"CA",31.6226776869108,77,9,49235,7.8,49.6,19.1,17.8,2.9,11.9,49.235
"173",6025,20847,56743,"CA",36.7393334860688,74.5,13.7,46222,7,51.3,28.7,12.9,3.3,84.7,46.222
"174",6027,4620,9484,"CA",48.7136229439055,69.1,3.9,59296,6.7,51.5,20.8,23.3,1.4,23,59.296
"175",6029,164484,305292,"CA",53.8775991509768,72.5,9.1,54851,7.7,51.2,28.9,11,6.7,53.9,54.851
"176",6031,24072,43861,"CA",54.8824696199357,73.7,8.4,61556,7.5,55.1,27.1,10.3,8.1,54.9,61.556
"177",6033,13123,28812,"CA",45.5469943079272,69.9,10.5,49254,7.3,49.9,21,22.8,3.3,21.3,49.254
"178",6035,8970,11987,"CA",74.8310669892383,68.1,6.1,56971,3.8,65.5,16.1,14.4,9.2,19.3,56.971
"179",6037,1145530,4264365,"CA",26.8628506237154,79.6,6.5,71358,9.2,49.3,21.7,13.6,9.3,48.3,71.358
"180",6039,29378,53732,"CA",54.6750539715626,76.7,9.6,61924,7.6,48.3,27.4,14,4,58.3,61.924
"181",6041,24612,155830,"CA",15.7941346338959,89.7,4.5,121671,3.2,48.8,20,22.3,3.5,16.1,121.671
"182",6043,5950,10280,"CA",57.8793774319066,77.4,8.7,50960,6.8,51.6,16.4,28.2,2.1,11.8,50.96
"183",6045,13267,43340,"CA",30.6114443931703,73.7,8.6,52915,9.3,49.5,21.3,22.1,1.5,25.7,52.915
"184",6047,39397,90554,"CA",43.5066369238245,74.5,10.7,56330,8,50.5,29.5,11.2,4.2,60.2,56.33
"185",6049,3109,4343,"CA",71.5864609716786,68.2,8.4,51250,10.7,50.9,19.7,27.4,1.7,14.9,51.25
"186",6051,2513,6738,"CA",37.2959335114277,78.1,2.4,64924,12.6,53.5,20.7,15.3,0.7,27,64.924
"187",6053,46299,163923,"CA",28.2443586317966,79.9,5.1,76943,9.4,50.9,26.2,13.6,3.6,59,76.943
"188",6055,20676,72150,"CA",28.6569646569647,82.5,4.5,92219,5.9,49.8,20.6,19.2,3,34.1,92.219
"189",6057,26779,64750,"CA",41.357528957529,81.7,4,68333,5.7,49.2,17.1,27.4,1.1,9.5,68.333
"190",6059,676498,1522113,"CA",44.4446634382598,82.8,5,94441,7.1,49.4,22,14.8,2.6,33.8,94.441
"191",6061,122488,235084,"CA",52.1039288084259,82.4,4.2,93677,3.7,48.8,22.2,19.6,2.8,14.3,93.677
"192",6063,6445,11260,"CA",57.2380106571936,75.9,6.3,57233,3.2,50.1,16.8,27.7,2.2,9.3,57.233
"193",6065,449144,997156,"CA",45.0425008724813,73.3,7.3,70732,8.5,49.8,25.2,14.5,8,49.4,70.732
"194",6067,259405,718440,"CA",36.1067034129503,77.9,6.4,70684,5.5,48.9,23.7,14.1,12.8,23.4,70.684
"195",6069,10590,28830,"CA",36.732570239334,74.2,7.5,85808,6.5,50.3,25.7,12.7,1.6,60.1,85.808
"196",6071,366257,841130,"CA",43.5434475051419,73.6,7.3,65761,8.3,49.8,26.4,11.6,10.1,53.8,65.761
"197",6073,600094,1602143,"CA",37.4557077614171,81.8,6.2,82426,7.6,50.4,21.6,14.1,6.5,33.9,82.426
"198",6075,56417,443553,"CA",12.7193368098063,88.4,4.7,119136,3.6,51,13.4,15.8,6.6,15.2,119.136
"199",6077,121098,288492,"CA",41.9762073125078,71.6,7.2,68628,6.3,49.8,27.1,12.8,9.2,41.7,68.628
"200",6079,67436,159714,"CA",42.2229735652479,80.1,4.5,77948,6,50.6,17.7,20.1,2.7,22.8,77.948
"201",6081,75584,374251,"CA",20.1960716203831,85.1,4,128091,3.8,49.5,20.5,16.2,3.4,24.1,128.091
"202",6083,65736,200339,"CA",32.8123830107967,83.1,5.7,78925,9.9,50,22.3,15.3,2.9,45.7,78.925
"203",6085,214612,850741,"CA",25.2264790341596,86,4.2,130890,4.2,50.7,21.9,13.5,3.4,25.1,130.89
"204",6087,26937,144837,"CA",18.59814826322,84.4,6.1,89986,5.2,49.5,19.1,16.4,2.5,33.6,89.986
"205",6089,60789,92930,"CA",65.4137522866674,74.4,5.9,57139,6.2,49.2,21.6,20.6,2.1,10.4,57.139
"206",6091,1142,1931,"CA",59.1403417918177,73.2,7,52103,7.4,50.9,15.3,28.2,0.1,10.1,52.103
"207",6093,13290,23472,"CA",56.620654396728,74.3,7.4,47403,6.4,49.8,20.2,25.2,2.5,12.9,47.403
"208",6095,69306,205877,"CA",33.6637895442424,76.4,5.9,84638,5,49.8,22.2,15.7,16.6,26.8,84.638
"209",6097,61825,268317,"CA",23.0417752136465,81.8,4.6,86173,6,48.8,19.6,19.6,2.7,27,86.173
"210",6099,104145,214954,"CA",48.4499009090317,70.2,8.8,62873,5.6,49.5,27.1,13,3.9,46.9,62.873
"211",6101,24375,42644,"CA",57.1592721133102,77,7.7,63502,6.8,49.9,25.9,15.4,3.7,31.3,63.502
"212",6103,19141,28731,"CA",66.6214193728029,71.4,8.9,48895,5.7,49.6,23.9,19.8,1.6,25.6,48.895
"213",6105,3188,6259,"CA",50.9346540980987,63.6,9,41780,10.4,50.8,17.2,28,1.3,7.4,41.78
"214",6107,77579,146885,"CA",52.8161486877489,73.5,9.9,52534,7.8,50,30.8,11.4,2.2,65.1,52.534
"215",6109,17689,30408,"CA",58.1721915285451,74.3,7.3,60509,6.1,51.8,16.6,26.1,2.5,12.6,60.509
"216",6111,162207,422825,"CA",38.3626795955774,80.5,5.1,89295,8.4,49.5,22.9,15.6,2.9,42.8,89.295
"217",6113,27292,97294,"CA",28.0510617304253,82.4,5.6,73746,4.3,48.5,21,12.5,3.8,31.7,73.746
"218",6115,17676,29796,"CA",59.323399113975,76.2,7.1,59424,7.1,50.8,27.5,12.4,5.9,28.8,59.424
"219",8001,95657,236740,"CO",40.4059305567289,71,4.1,73817,10.3,50.5,26.5,10.5,4.7,40.4,73.817
"220",8003,3813,7808,"CO",48.8345286885246,71.8,6.9,41121,11.3,49.4,24.2,13.9,1.1,47.1,41.121
