"","caseid","commonweight","age","gender","race_eth","education","marital","employment","device","republican","public_ins","public_option"
"216",1028855211,0.733549236446672,51,"Male","White","College graduate or higher","Married","Employed","Computer",0,0,0
"217",1028854019,0.626353682069229,64,"Female","White","High school graduate","Married","Retired","Computer",0,0,1
"218",1028842757,1.15002371947357,52,"Female","White","College graduate or higher","Divorced","Unemployed","Computer",1,0,0
"219",1028853511,0.748293157540095,23,"Female","White","College graduate or higher","Never married","Employed","Computer",1,0,1
"220",1028849929,0.43532901409033,56,"Male","Asian","College graduate or higher","Never married","Employed","Computer",0,1,1
"221",1028764943,0.263434329996485,23,"Male","White","College graduate or higher","Never married","Employed","Smartphone",1,0,1
"222",1027661585,1.89680019385265,83,"Female","White","College graduate or higher","Widowed","Employed","Computer",0,0,1
"223",1028851989,0.7846821122636,64,"Female","White","College graduate or higher","Married","Other","Computer",0,0,1
"224",1028854045,0.732080800830507,59,"Male","White","Some college or 2-year degree","Married","Other","Computer",1,0,0
"225",1028494255,1.0727167423682,65,"Female","White","College graduate or higher","Divorced","Employed","Computer",0,0,1
"226",1027514149,2.66255499530485,67,"Female","Black","College graduate or higher","Married","Retired","Smartphone",0,1,1
"227",1028833577,0.790574663448292,34,"Female","White","College graduate or higher","Married","Employed","Computer",0,0,1
"228",1028832393,0.904968172043485,58,"Male","White","College graduate or higher","Divorced","Retired","Tablet",0,0,1
"229",1028843839,1.19000736051353,32,"Male","White","Some college or 2-year degree","Married","Employed","Computer",0,0,1
"230",1028831567,1.00453336562034,30,"Female","White","College graduate or higher","Never married","Employed","Smartphone",0,0,1
"231",1028848533,0.821665737057617,64,"Female","White","College graduate or higher","Widowed","Employed","Smartphone",0,0,1
"232",1028833625,1.43403478413259,72,"Female","White","Some college or 2-year degree","Divorced","Retired","Computer",1,1,1
"233",1028289765,2.11211571463309,43,"Male","White","Some college or 2-year degree","Divorced","Employed","Computer",0,0,1
"234",1028564311,0.733485510123198,83,"Female","White","Some college or 2-year degree","Married","Retired","Computer",0,1,0
"235",1028854633,0.834135847994366,50,"Male","White","High school graduate","Married","Employed","Computer",0,0,1
"236",1028833131,1.06632881859374,61,"Male","White","College graduate or higher","Divorced","Retired","Computer",1,0,0
"237",1028835187,0.987704624393232,59,"Female","White","College graduate or higher","Married","Retired","Computer",0,0,1
"238",1028779903,0.92531799491413,63,"Male","White","Some college or 2-year degree","Married","Retired","Computer",1,0,0
"239",1028847681,1.24461647067343,44,"Male","White","College graduate or higher","Never married","Employed","Smartphone",0,0,1
"240",1028272401,0.683486039198382,41,"Male","White","College graduate or higher","Divorced","Employed","Smartphone",1,0,0
"241",1028381463,0.6443790095612,59,"Male","White","High school graduate","Widowed","Employed","Computer",0,0,1
"242",1028778395,0.346840405388031,29,"Male","White","College graduate or higher","Never married","Employed","Computer",0,0,0
"243",1028792325,0.708263796188672,48,"Male","White","College graduate or higher","Married","Employed","Smartphone",0,0,1
"244",1028843077,1.12685700595705,62,"Male","White","Some college or 2-year degree","Married","Employed","Computer",1,0,0
"245",1028854697,1.39669384647712,21,"Male","White","Some college or 2-year degree","Married","Employed","Smartphone",1,1,1
"246",1028856749,0.922407565496486,58,"Male","White","College graduate or higher","Never married","Employed","Smartphone",1,0,0
"247",1028245427,0.596503108356185,39,"Male","White","Some college or 2-year degree","Married","Employed","Computer",0,0,0
"248",1028259257,0.525536845322189,53,"Female","White","High school graduate","Married","Employed","Computer",0,0,0
"249",1028610975,0.71196681395401,24,"Male","White","College graduate or higher","Never married","Employed","Computer",1,0,0
"250",1028208575,1.25503278344112,48,"Male","White","College graduate or higher","Never married","Employed","Smartphone",0,0,1
"251",1028523459,1.26394007989069,58,"Female","White","College graduate or higher","Married","Employed","Smartphone",1,0,0
"252",1028803715,0.884532876497701,35,"Female","White","College graduate or higher","Married","Other","Smartphone",0,0,1
"253",1028832417,0.673198601711502,53,"Male","White","Some college or 2-year degree","Never married","Disabled","Computer",0,1,1
"254",1028791459,0.726334394559047,65,"Male","Other","Some college or 2-year degree","Divorced","Retired","Smartphone",0,1,0
"255",1028849611,0.857456418534277,27,"Female","White","College graduate or higher","Married","Employed","Computer",1,0,0
"256",1028843477,0.63059076301388,40,"Male","Hispanic/Latino","College graduate or higher","Never married","Employed","Tablet",0,1,0
"257",1026389463,0.461554901196891,42,"Female","White","Some college or 2-year degree","Married","Other","Tablet",0,0,1
"258",1028448037,1.39048343562548,65,"Male","White","Some college or 2-year degree","Married","Retired","Tablet",1,1,0
"259",1028854243,0.870351211913638,69,"Female","White","College graduate or higher","Married","Employed","Smartphone",0,0,1
"260",1028565023,0.587192601070077,58,"Female","White","High school graduate","Married","Employed","Computer",1,0,1
"261",1028855273,0.566677410693537,30,"Female","White","High school graduate","Married","Other","Smartphone",1,1,1
