ID,Name,State,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean,,
GA-053,Chattahoochee County,Georgia,1.61,35,-1.48,3.09,,
GA-055,Chattooga County,Georgia,2.1,26,-1.82,3.92,,
GA-057,Cherokee County,Georgia,1.95,29,-1.69,3.64,,
GA-059,Clarke County,Georgia,1.81,37,-1.39,3.2,,
GA-061,Clay County,Georgia,0.18,4,-2.99,3.17,,
GA-063,Clayton County,Georgia,2.89,60,-0.4,3.29,,
GA-065,Clinch County,Georgia,0.02,1,-2.14,2.16,,
GA-067,Cobb County,Georgia,2.48,46,-0.97,3.45,,
GA-069,Coffee County,Georgia,0.09,2,-2.18,2.27,,
GA-071,Colquitt County,Georgia,0.36,6,-2.22,2.58,,
GA-073,Columbia County,Georgia,1.39,36,-1.25,2.64,,
GA-075,Cook County,Georgia,0.27,4,-2.13,2.4,,
GA-077,Coweta County,Georgia,3.56,75,0.09,3.47,,
GA-079,Crawford County,Georgia,1.06,17,-1.79,2.85,,
GA-081,Crisp County,Georgia,0.03,1,-2.62,2.65,,
GA-083,Dade County,Georgia,3.82,66,-0.23,4.05,,
GA-085,Dawson County,Georgia,1.8,19,-2.32,4.12,,
GA-087,Decatur County,Georgia,0.2,2,-2.62,2.82,,
GA-089,DeKalb County,Georgia,2.81,60,-0.6,3.41,,
GA-091,Dodge County,Georgia,0.05,1,-2.46,2.51,,
GA-093,Dooly County,Georgia,0.15,2,-2.53,2.68,,
GA-095,Dougherty County,Georgia,0.06,2,-2.69,2.75,,
GA-097,Douglas County,Georgia,3.03,62,-0.52,3.55,,
GA-099,Early County,Georgia,0.26,5,-2.79,3.05,,
GA-101,Echols County,Georgia,0.01,1,-2.25,2.26,,
GA-103,Effingham County,Georgia,0.14,3,-2.09,2.23,,
GA-105,Elbert County,Georgia,1.24,20,-1.78,3.02,,
GA-107,Emanuel County,Georgia,0.43,4,-1.96,2.39,,
GA-109,Evans County,Georgia,0.25,3,-2.04,2.29,,
GA-111,Fannin County,Georgia,1.88,20,-2.43,4.31,,
GA-113,Fayette County,Georgia,2.99,66,-0.31,3.3,,
GA-115,Floyd County,Georgia,1.9,27,-1.75,3.65,,
GA-117,Forsyth County,Georgia,2.04,33,-1.61,3.65,,
GA-119,Franklin County,Georgia,1.54,19,-1.79,3.33,,
GA-121,Fulton County,Georgia,2.94,62,-0.52,3.46,,
GA-123,Gilmer County,Georgia,1.91,18,-2.51,4.42,,
GA-125,Glascock County,Georgia,0.72,12,-1.95,2.67,,
GA-127,Glynn County,Georgia,0.07,1,-1.96,2.03,,
GA-129,Gordon County,Georgia,1.73,24,-1.93,3.66,,
GA-131,Grady County,Georgia,0.12,2,-2.62,2.74,,
