"","county_fips","year","rep_votes","all_votes","state","pc_rep","unemploy_rate","median_income","pc_uninsured","pop_over_18","turnout","med_inc_000s"
"234",4013,2020,995665,2068144,"AZ",48.1429242838023,5.1,67799,10.9,3361761,61.5196618676937,67.799
"235",4015,2012,49168,70010,"AZ",70.2299671475504,14.2,39383,16.7,159771,43.8189658949371,39.383
"236",4015,2016,58282,79943,"AZ",72.9044444166469,11.7,39856,14,165580,48.2805894431695,39.856
"237",4015,2020,78535,104668,"AZ",75.0324836626285,7.6,47686,9.4,174992,59.8130200237725,47.686
"238",4017,2012,19884,37335,"AZ",53.2583366813982,17.1,37683,18.1,75537,49.4261090591366,37.683
"239",4017,2016,20577,40294,"AZ",51.0671564004566,18.5,36868,16.8,78002,51.6576498038512,36.868
"240",4017,2020,27657,51767,"AZ",53.4259277145672,11,43140,13.5,81091,63.8381571321108,43.14
"241",4019,2012,174779,382250,"AZ",45.7237410071942,10.1,46443,14.7,756657,50.5182665329205,46.443
"242",4019,2016,167428,421640,"AZ",39.7087562849824,9.2,46764,12.3,784048,53.7773197559333,46.764
"243",4019,2020,207758,520397,"AZ",39.9229818772975,6.8,55023,8.9,822114,63.2998586570719,55.023
"244",4021,2012,62079,108315,"AZ",57.3133914970226,11.5,50164,15.1,272430,39.7588371324744,50.164
"245",4021,2016,72819,129546,"AZ",56.2109212171738,9.4,51190,11.6,301213,43.0081038998981,51.19
"246",4021,2020,107077,184974,"AZ",57.8875950133532,7.1,60968,8.8,346387,53.400964816809,60.968
"247",4023,2012,4235,13894,"AZ",30.4807830718296,14,37692,21.5,32701,42.4879973089508,37.692
"248",4023,2016,3897,16433,"AZ",23.7144769670784,9.7,38941,15.5,33301,49.3468664604667,38.941
"249",4023,2020,6194,19556,"AZ",31.6731437921865,8.3,41424,11.7,33965,57.576917414986,41.424
"250",4025,2012,64468,100283,"AZ",64.2860704207094,10.2,43652,16.3,171178,58.5840470153875,43.652
"251",4025,2016,71330,114450,"AZ",62.3241590214067,8.5,46638,12.8,180558,63.3868341474762,46.638
"252",4025,2020,91527,143221,"AZ",63.9061310841287,5.8,53329,9.7,194812,73.5175451204238,53.329
"253",4027,2012,23352,41953,"AZ",55.6622887516983,13,41156,21.1,141571,29.6338939472067,41.156
"254",4027,2016,25165,53010,"AZ",47.4721750613092,12.5,41467,18,150066,35.3244572388149,41.467
"255",4027,2020,36534,69881,"AZ",52.2803050900817,8.6,48790,12.6,158585,44.0653277422203,48.79
"256",5001,2012,3897,6494,"AR",60.0092392978134,7.3,39883,13.5,14621,44.4155666507079,39.883
"257",5001,2016,3826,6212,"AR",61.5904700579524,9.1,37330,9.5,14277,43.5105414302725,37.33
"258",5001,2020,4304,6292,"AR",68.4043229497775,4.8,51000,5.3,13695,45.9437751004016,51
"259",5003,2012,4867,7921,"AR",61.4442620881202,9.8,38069,14.8,16475,48.0789074355083,38.069
"260",5003,2016,5338,8083,"AR",66.0398366942967,10,36352,12.2,16064,50.3174800796813,36.352
